frame_id,timestamp_ms,ball_u,ball_v,aruco_u,aruco_v
106,1750951052017,-999,-999,720.5,880.75
107,1750951052071,-999,-999,720,881
108,1750951052118,-999,-999,721,880.75
109,1750951052169,-999,-999,720.75,881.75
110,1750951052218,-999,-999,720.75,879.75
111,1750951052270,-999,-999,721.5,880.75
112,1750951052323,-999,-999,720.75,879.5
113,1750951052367,-999,-999,720.75,879.5
114,1750951052417,-999,-999,720.75,880.5
115,1750951052467,-999,-999,720.25,879.25
116,1750951052518,-999,-999,721.5,880.25
117,1750951052568,-999,-999,720.25,880.5
118,1750951052620,-999,-999,719.75,880.5
119,1750951052670,-999,-999,720.75,879.75
120,1750951052723,-999,-999,721.75,879.5
121,1750951052933,-999,-999,721,880
122,1750951053059,-999,-999,720.5,879.25
123,1750951053192,-999,-999,720.5,880.25
124,1750951053319,-999,-999,721,879.5
125,1750951053447,-999,-999,720.5,881
126,1750951053571,-999,-999,720.5,880.25
127,1750951053702,-999,-999,721,880.75
128,1750951053837,-999,-999,720.5,878.75
129,1750951053967,-999,-999,722.5,881.5
130,1750951054092,-999,-999,719.25,879.5
131,1750951054221,-999,-999,720.5,880
132,1750951054346,-999,-999,720.75,880.5
133,1750951054472,-999,-999,721,879
134,1750951054600,-999,-999,720.5,880.25
135,1750951054730,-999,-999,720.75,880
136,1750951054863,-999,-999,720.25,880.5
137,1750951054990,-999,-999,720.75,879.25
138,1750951055124,-999,-999,720,880
139,1750951055253,-999,-999,720.75,880.25
140,1750951055380,-999,-999,720.25,881
141,1750951055509,-999,-999,720.25,879.5
142,1750951055643,-999,-999,721,880
143,1750951055779,-999,-999,720.5,880.75
144,1750951055912,-999,-999,721.25,879.5
145,1750951056041,-999,-999,721.25,879.75
146,1750951056172,-999,-999,720.75,880.75
147,1750951056295,-999,-999,720.5,880
148,1750951056423,-999,-999,720.75,880.25
149,1750951056551,-999,-999,720.25,879
150,1750951056677,-999,-999,720.5,879.75
151,1750951056806,-999,-999,719.75,880.25
152,1750951056940,-999,-999,720.75,880.75
153,1750951057072,-999,-999,721.25,880.25
154,1750951057205,-999,-999,721.25,880.5
155,1750951057331,-999,-999,720.5,879.5
156,1750951057457,-999,-999,721.25,879.5
157,1750951057589,-999,-999,720.75,879.25
158,1750951057722,-999,-999,720.5,880.5
159,1750951057845,-999,-999,721,880.5
160,1750951057974,-999,-999,720.5,879.5
161,1750951058105,-999,-999,720.75,881
162,1750951058229,-999,-999,720.5,881
163,1750951058362,-999,-999,720.75,880
164,1750951058491,-999,-999,720.75,881.25
165,1750951058622,-999,-999,719.5,880.75
166,1750951058748,-999,-999,720,879.75
167,1750951058871,-999,-999,720.5,880
168,1750951059001,-999,-999,720.5,880
169,1750951059130,-999,-999,719.75,879.75
170,1750951059262,-999,-999,720.25,880
171,1750951059398,-999,-999,721.25,880
172,1750951059531,-999,-999,720.75,880
173,1750951059663,-999,-999,720.25,880
174,1750951059795,-999,-999,721,880.75
175,1750951059919,-999,-999,721.5,880.25
176,1750951060047,-999,-999,720.5,880.25
177,1750951060174,-999,-999,719.5,879.5
178,1750951060298,-999,-999,719.25,880.25
179,1750951060425,-999,-999,720,881
180,1750951060551,-999,-999,720.25,879.75
181,1750951060679,-999,-999,721.5,879.75
182,1750951060810,-999,-999,720,880
183,1750951060938,-999,-999,721,880.5
184,1750951061070,-999,-999,720.5,880.5
185,1750951061195,-999,-999,722.25,880.25
186,1750951061323,-999,-999,720.5,881.5
187,1750951061449,-999,-999,720.5,880.75
188,1750951061576,-999,-999,721,879.25
189,1750951061701,-999,-999,719.5,880.25
190,1750951061832,-999,-999,720.75,880.75
191,1750951061964,-999,-999,720.5,879
192,1750951062095,-999,-999,719.5,879.75
193,1750951062225,-999,-999,720,879.5
194,1750951062356,-999,-999,720,880.75
195,1750951062485,-999,-999,721.25,880.5
196,1750951062616,-999,-999,719.5,879.75
197,1750951062746,-999,-999,720,879.25
198,1750951062871,-999,-999,720.5,880.25
199,1750951062997,-999,-999,720.25,880.75
200,1750951063123,-999,-999,719.75,880.25
201,1750951063253,-999,-999,720.75,879.75
202,1750951063385,-999,-999,721,880
203,1750951063513,-999,-999,719.75,879.75
204,1750951063637,-999,-999,720.75,880.75
205,1750951063767,-999,-999,721.5,879.75
206,1750951063901,-999,-999,720.25,880
207,1750951064031,-999,-999,720.25,880.5
208,1750951064165,118.622,330.566,720.25,880.75
209,1750951064296,179.199,304.678,720.75,880.25
210,1750951064428,269.179,285.938,721.25,880.75
211,1750951064553,356.632,293.5,720.25,881
212,1750951064681,418.385,312.882,720.75,881.25
213,1750951064807,499.274,382.431,720.75,879.75
214,1750951064938,559.503,451.313,720.75,879.75
215,1750951065069,-999,-999,721.25,879.75
216,1750951065192,706.188,671.215,720.25,879.75
217,1750951065319,769.13,767.17,720.25,879.75
218,1750951065450,-999,-999,721.75,880
219,1750951065575,837.866,559.77,720,880.25
220,1750951065699,865.326,498.892,719.5,879.75
221,1750951065830,907.916,438.214,720.25,879.75
222,1750951065957,951.838,410.002,721.5,880.5
223,1750951066083,981.43,411.387,719.75,880.75
224,1750951066212,1025.47,442.622,721,880.75
225,1750951066343,1055.66,482.682,720.5,881
